;coeditor1;coeditor2;count
1848;Herman, Jan;Pelckmans, Paul;221
3896;Hasquin, Hervé;Mortier, Roland;103
2546;Ferreyrolles, Gérard;Versini, Laurent;84
184;Biard, Michel;Leuwers, Hervé;78
183;Biard, Michel;Bourdin, Philippe;64
2231;Didier, Béatrice;Neefs, Jacques;63
2455;Pelckmans, Paul;Sermain, Jean-Paul;60
2448;Escola, Marc;Omacini, Lucia;60
2452;Herman, Jan;Sermain, Jean-Paul;60
2447;Escola, Marc;Herman, Jan;60
2449;Escola, Marc;Pelckmans, Paul;60
2450;Escola, Marc;Sermain, Jean-Paul;60
2453;Omacini, Lucia;Pelckmans, Paul;60
2454;Omacini, Lucia;Sermain, Jean-Paul;60
3365;Kölving, Ulla;Passeron, Irène;60
2451;Herman, Jan;Omacini, Lucia;60
361;Porret, Michel;Rosset, François;59
360;Baczko, Bronislav;Majeur, Robin;56
358;Baczko, Bronislav;Rosset, François;56
357;Baczko, Bronislav;Porret, Michel;56
364;Rosset, François;la collaboration de Mirjana Farkas, avec;56
362;Porret, Michel;la collaboration de Mirjana Farkas, avec;56
363;Majeur, Robin;Porret, Michel;56
365;Majeur, Robin;Rosset, François;56
366;Majeur, Robin;la collaboration de Mirjana Farkas, avec;56
359;Baczko, Bronislav;la collaboration de Mirjana Farkas, avec;56
1254;Delon, Michel;Marchand, Sophie;53
1253;Bret-Vitoz, Renaud;Marchand, Sophie;53
1252;Bret-Vitoz, Renaud;Delon, Michel;53
3053;Herman, Jan;la collaboration de Kris Peeters, avec;52
3054;Pelckmans, Paul;la collaboration de Kris Peeters, avec;52
718;Berchtold, Jacques;Frantz, Pierre;51
3204;Séité, Yannick;Trevisan, Carine;51
427;Barbier, Frédéric;Varry, Dominique;50
4868;Grapa, Caroline Jacot;Jacques-Lefèvre, Nicole;50
4869;Grapa, Caroline Jacot;Séité, Yannick;50
4870;Grapa, Caroline Jacot;Trevisan, Carine;50
4871;Jacques-Lefèvre, Nicole;Séité, Yannick;50
4872;Jacques-Lefèvre, Nicole;Trevisan, Carine;50
1946;Cronk, Nicholas;Ferrand, Nathalie;49
4124;Plagnol-Diéval, Marie-Emmanuelle;Quéro, Dominique;47
186;Bourdin, Philippe;Leuwers, Hervé;46
